"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:15:37 GMT 2024","Tue Jun 11 13:16:06 GMT 2024","29046","Surefire suite","Surefire test","org.example.ui.AutirizeAgentTest","org.example.ui.AutirizeAgentTest","autorizeAgentTest","autorizeAgentTest",""
"passed","Tue Jun 11 13:16:17 GMT 2024","Tue Jun 11 13:16:18 GMT 2024","1235","API Suite","API Test","org.example.api.BuildConfigurationTest","org.example.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Tue Jun 11 13:13:44 GMT 2024","Tue Jun 11 13:14:38 GMT 2024","54011","Surefire suite","Surefire test","org.example.ui.SetupTest","org.example.ui.SetupTest","startUpTest","startUpTest",""
