"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 09:58:57 GMT 2024","Tue Jun 11 09:59:52 GMT 2024","54392","Surefire suite","Surefire test","org.example.ui.SetupTest","org.example.ui.SetupTest","startUpTest","startUpTest",""
"passed","Tue Jun 11 10:00:48 GMT 2024","Tue Jun 11 10:01:16 GMT 2024","28689","Surefire suite","Surefire test","org.example.ui.AutirizeAgentTest","org.example.ui.AutirizeAgentTest","autorizeAgentTest","autorizeAgentTest",""
"passed","Tue Jun 11 10:02:03 GMT 2024","Tue Jun 11 10:02:04 GMT 2024","779","API Suite","API Test","org.example.api.BuildConfigurationTest","org.example.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Tue Jun 11 10:02:04 GMT 2024","Tue Jun 11 10:02:16 GMT 2024","11614","UI Suite","UI Test","org.example.ui.CreateBuildConfigurationTest","org.example.ui.CreateBuildConfigurationTest","autorizedUserShouldBeAbleCreateNewBuildConfiguration","autorizedUserShouldBeAbleCreateNewBuildConfiguration",""
