"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 11:01:24 GMT 2024","Tue Jun 11 11:01:52 GMT 2024","28702","Surefire suite","Surefire test","org.example.ui.AutirizeAgentTest","org.example.ui.AutirizeAgentTest","autorizeAgentTest","autorizeAgentTest",""
"passed","Tue Jun 11 10:59:32 GMT 2024","Tue Jun 11 11:00:26 GMT 2024","54098","Surefire suite","Surefire test","org.example.ui.SetupTest","org.example.ui.SetupTest","startUpTest","startUpTest",""
"passed","Tue Jun 11 11:02:40 GMT 2024","Tue Jun 11 11:02:54 GMT 2024","13382","UI Suite","UI Test","org.example.ui.CreateBuildConfigurationTest","org.example.ui.CreateBuildConfigurationTest","autorizedUserShouldBeAbleCreateNewBuildConfiguration","autorizedUserShouldBeAbleCreateNewBuildConfiguration",""
"passed","Tue Jun 11 11:02:40 GMT 2024","Tue Jun 11 11:02:40 GMT 2024","759","API Suite","API Test","org.example.api.BuildConfigurationTest","org.example.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
