"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 13:28:21 GMT 2024","Mon Jun 10 13:28:52 GMT 2024","30801","Surefire suite","Surefire test","org.example.ui.AutirizeAgentTest","org.example.ui.AutirizeAgentTest","autorizeAgentTest","autorizeAgentTest",""
"passed","Mon Jun 10 13:29:02 GMT 2024","Mon Jun 10 13:29:03 GMT 2024","1256","API Suite","API Test","org.example.api.BuildConfigurationTest","org.example.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Mon Jun 10 13:26:30 GMT 2024","Mon Jun 10 13:27:24 GMT 2024","54021","Surefire suite","Surefire test","org.example.ui.SetupTest","org.example.ui.SetupTest","startUpTest","startUpTest",""
"failed","Mon Jun 10 13:29:03 GMT 2024","Mon Jun 10 13:39:25 GMT 2024","622129","UI Suite","UI Test","org.example.ui.CreateBuildConfigurationTest","org.example.ui.CreateBuildConfigurationTest","autorizedUserShouldBeAbleCreateNewBuildConfiguration","autorizedUserShouldBeAbleCreateNewBuildConfiguration",""
