"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:25:32 GMT 2024","Tue Jun 11 13:25:33 GMT 2024","794","API Suite","API Test","org.example.api.BuildConfigurationTest","org.example.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Tue Jun 11 13:22:24 GMT 2024","Tue Jun 11 13:23:19 GMT 2024","54964","Surefire suite","Surefire test","org.example.ui.SetupTest","org.example.ui.SetupTest","startUpTest","startUpTest",""
"passed","Tue Jun 11 13:25:33 GMT 2024","Tue Jun 11 13:25:45 GMT 2024","12288","UI Suite","UI Test","org.example.ui.CreateBuildConfigurationTest","org.example.ui.CreateBuildConfigurationTest","autorizedUserShouldBeAbleCreateNewBuildConfiguration","autorizedUserShouldBeAbleCreateNewBuildConfiguration",""
"passed","Tue Jun 11 13:24:12 GMT 2024","Tue Jun 11 13:24:41 GMT 2024","29214","Surefire suite","Surefire test","org.example.ui.AutirizeAgentTest","org.example.ui.AutirizeAgentTest","autorizeAgentTest","autorizeAgentTest",""
