"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 10:20:32 GMT 2024","Tue Jun 11 10:21:24 GMT 2024","52596","Surefire suite","Surefire test","org.example.ui.SetupTest","org.example.ui.SetupTest","startUpTest","startUpTest",""
"passed","Tue Jun 11 10:23:32 GMT 2024","Tue Jun 11 10:23:33 GMT 2024","925","API Suite","API Test","org.example.api.BuildConfigurationTest","org.example.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Tue Jun 11 10:22:15 GMT 2024","Tue Jun 11 10:22:44 GMT 2024","28757","Surefire suite","Surefire test","org.example.ui.AutirizeAgentTest","org.example.ui.AutirizeAgentTest","autorizeAgentTest","autorizeAgentTest",""
"passed","Tue Jun 11 10:23:33 GMT 2024","Tue Jun 11 10:23:47 GMT 2024","13930","UI Suite","UI Test","org.example.ui.CreateBuildConfigurationTest","org.example.ui.CreateBuildConfigurationTest","autorizedUserShouldBeAbleCreateNewBuildConfiguration","autorizedUserShouldBeAbleCreateNewBuildConfiguration",""
